Parish,Style,Distance_from_Orleans
Acadia,Traditional,139.6
Acadia,Filled,139.6
Assumption,Filled,59.8
Calcasieu,Filled,194.4
East Baton Rouge,Traditional,72.4
East Baton Rouge,Traditional,72.4
East Baton Rouge,Filled,72.4
East Baton Rouge,Filled,72.4
East Baton Rouge,Filled,72.4
East Baton Rouge,Filled,72.4
East Baton Rouge,Filled,72.4
East Baton Rouge,Filled,72.4
East Baton Rouge,Filled,72.4
Iberia,Filled,104.4
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Filled,6.1
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Traditional,6.1
Jefferson,Filled,6.1
Jefferson,Filled,6.1
Jefferson,Traditional,6.1
Jefferson,Filled,6.1
Lafayette,Traditional,119.6
Lafayette,Traditional,119.6
Lafayette,Filled,119.6
Lafayette,Filled,119.6
Lafayette,Filled,119.6
Lafayette,Traditional,119.6
Lafayette,Traditional,119.6
Lafayette,Filled,119.6
Livingston,Filled,56.3
Natchitoches,Traditional,217.7
Natchitoches,Traditional,217.7
Natchitoches,Traditional,217.7
Orleans,Filled,0
Orleans,Traditional,0
Orleans,Filled,0
Orleans,Filled,0
Orleans,Filled,0
Orleans,Traditional,0
Orleans,Traditional,0
Orleans,Filled,0
Orleans,Filled,0
Orleans,Filled,0
Orleans,Filled,0
Orleans,Traditional,0
Orleans,Traditional,0
Orleans,Traditional,0
Orleans,Filled,0
Orleans,Traditional,0
Orleans,Traditional,0
Orleans,Traditional,0
Orleans,Filled,0
Orleans,Traditional,0
Orleans,Traditional,0
Ouachita,Filled,213.1
Ouachita,Filled,213.1
Ouachita,Filled,213.1
Ouachita,Traditional,213.1
Ouachita,Traditional,213.1
Ouachita,Filled,213.1
Plaquemines,Filled,32.2
Rapides,Filled,169.2
St Bernard,Traditional,10.7
St Bernard,Traditional,10.7
St Bernard,Traditional,10.7
St Charles,Filled,20.3
St Charles,Traditional,20.3
St Charles,Traditional,20.3
St John the Baptist,Traditional,29
St Tammany,Traditional,30.3
St Tammany,Traditional,30.3
St Tammany,Filled,30.3
St Tammany,Traditional,30.3
St Tammany,Filled,30.3
St Tammany,Filled,30.3
St Tammany,Traditional,30.3
St Tammany,Filled,30.3
St Tammany,Traditional,30.3
Tangipahoa,Filled,50
Tangipahoa,Filled,50
Tangipahoa,Filled,50
Tangipahoa,Filled,50
Terrebonne,Filled,50.4
Terrebonne,Traditional,50.4
West Baton Rouge,Filled,79.2
